filepath,label,class_name
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_123.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_194.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_121.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_92.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_62.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_28.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_10.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_14.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_60.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_67.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_12.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_143.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_195.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_203.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_116.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_104.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_189.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_71.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_98.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_35.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_22.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_71.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_81.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_32.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_122.png,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_42.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_107.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_52.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_82.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_158.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_29.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_44.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_107.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_99.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_69.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_84.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_133.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_25.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_130.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_126.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_35.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_77.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_63.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_93.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_125.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_137.png,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_135.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_36.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_136.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_57.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_148.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_172.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_173.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_154.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_38.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_51.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_162.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_146.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_137.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_143.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_26.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_158.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_29.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_73.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_14.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_24.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_87.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_148.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_163.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_38.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_100.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_51.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_180.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_149.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_44.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_43.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_54.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_77.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_20.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_5.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_119.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_3.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_15.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_170.png,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_110.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_125.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_24.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_28.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_188.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_190.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_109.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_92.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_138.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_39.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_83.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_69.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_47.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_99.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_189.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_13.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_95.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_172.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_46.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_116.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_28.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_126.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_102.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_186.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_115.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_159.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_77.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_19.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_24.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_48.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_28.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_84.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_30.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_145.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_152.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_72.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_177.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_81.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_195.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_23.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_58.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_135.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_95.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_34.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_166.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_77.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_50.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_106.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_65.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_31.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_120.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_53.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_179.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_153.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_104.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_47.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_106.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_123.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_109.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_138.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_15.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_51.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_161.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_8.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_183.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_133.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_116.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_54.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_128.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_110.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_112.png,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_30.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_76.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_169.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_21.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_86.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_114.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_21.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_43.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_196.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_131.png,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_181.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_160.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_196.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_18.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_19.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_168.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_139.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_105.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_78.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_166.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_194.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_122.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_142.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_74.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_94.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_54.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_173.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_37.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_52.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_39.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_99.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_45.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_69.png,4,Guppy
